id,title,year,date_range,start_date,venue,prefecture,tour_simple,tour_detailed,organizers,catalog_status,catalog_detail,remarks,reference,
1978-isetan-01,ミュシャ展：アールヌーボーの花,1978,6/8-6/13,1978-06-08,伊勢丹美術館,東京都,計5か所（1/5）,1978年：東京・伊勢丹美術館、熊本・熊本県立美術館、愛知・松坂屋名古屋駅店6階催事場、大阪・梅田近代美術館、北海道・札幌そごう　計5か所（1/5）,"＊
",有＊,1978年、日本海外株式会社編（伊勢丹美術館のもの＊）,日本初のミュシャ回顧展,1978年『ミュシャ展：アールヌーボーの花』カタログ（松坂屋名古屋駅店のもの）、『アルフォンス・ミュシャ展：生誕150年記念』カタログ、『みんなのミュシャ：ミュシャからマンガへ／線の魔術』展カタログ、国立新美術館データベース,
1978-kumamoto-01,ミュシャ展：アールヌーボーの花,1978,7/7-7/23,1978-07-07,熊本県立美術館,熊本県,計5か所（2/5）,1978年：東京・伊勢丹美術館、熊本・熊本県立美術館、愛知・松坂屋名古屋駅店6階催事場、大阪・梅田近代美術館、北海道・札幌そごう　計5か所（2/5）,主催：熊本県立美術館ほか＊,＊,＊,,『アルフォンス・ミュシャ展：生誕150年記念』カタログ、『みんなのミュシャ：ミュシャからマンガへ／線の魔術』展カタログ、国立新美術館データベース,
1978-matsu-01,ミュシャ展：アールヌーボーの花,1978,9/21-9/26,1978-09-21,松坂屋名古屋駅店6階催事場,愛知県,計5か所（3/5）,1978年：東京・伊勢丹美術館、熊本・熊本県立美術館、愛知・松坂屋名古屋駅店6階催事場、大阪・梅田近代美術館、北海道・札幌そごう　計5か所（3/5）,"主催：中日新聞社本社、アルフォンス・ミュシャ展実行委員会
後援：チェコスロバキア社会主義共和国大使館、プラハ国立美術館、文化庁、愛知県・名古屋市教育委員会",有,1978年、日本海外株式会社編（松坂屋名古屋駅店のもの）,,1980年『ミュシャ展：アールヌーボーの花』カタログ（松坂屋名古屋駅店のもの）,
1978-umeda-01,ミュシャ展：アールヌーボーの花,1978,＊,1978-12-30,梅田近代美術館,大阪府,計5か所（4/5）,1978年：東京・伊勢丹美術館、熊本・熊本県立美術館、愛知・松坂屋名古屋駅店6階催事場、大阪・梅田近代美術館、北海道・札幌そごう　計5か所（4/5）,"＊
",＊,＊,,『アルフォンス・ミュシャ展：生誕150年記念』カタログ、『みんなのミュシャ：ミュシャからマンガへ／線の魔術』展カタログ,
1978-sogo-01,ミュシャ展：アールヌーボーの花,1978,＊,1978-12-31,札幌そごう,北海道,計5か所（5/5）,1978年：東京・伊勢丹美術館、熊本・熊本県立美術館、愛知・松坂屋名古屋駅店6階催事場、大阪・梅田近代美術館、北海道・札幌そごう　計5か所（5/5）,"＊
",＊,＊,,『アルフォンス・ミュシャ展：生誕150年記念』カタログ、『みんなのミュシャ：ミュシャからマンガへ／線の魔術』展カタログ,
1983-isetan-01,アルフォンス・ミュシャ展：アール・ヌーヴォーの華,1983,3/24-4/19,1983-03-24,伊勢丹美術館,東京都,計21か所（1/21）,1983年：東京・伊勢丹美術館、愛知・松坂屋名古屋本店、京都・高島屋京都店、福岡・石橋美術館、大阪・なんば高島屋、兵庫・大丸神戸店、神奈川・横浜高島屋、北海道・札幌東急　1984年：広島・福屋、千葉・船橋西武美術館、福岡・岩田屋、新潟・伊勢丹、鹿児島・山形屋本店　1985 年：大阪・阪神百貨店、北海道・西武旭川店、岩手・岩手県民会館　1986年：長崎・浜屋、熊本・岩田屋伊勢丹、宮城・エンド一本店　1987年：富山・西武富山店、静岡・静岡カントリー・カルチャーフロア　計21か所（1/21）,,有,1983年、ドイテク企画室編（伊勢丹美術館含む8か所のもの）,企画協力：ドイグループ（ドイテク企画室）,1983年『アルフォンス・ミュシャ展：アール・ヌーヴォーの華』カタログ（伊勢丹美術館含む8か所のもの）、『アルフォンス・ミュシャ展：生誕150年記念』カタログ、『アルフォンス・ミュシャ作品集（新装版）』、『みんなのミュシャ：ミュシャからマンガへ／線の魔術』展カタログ、国立新美術館データベース,
1983-matsu-01,アルフォンス・ミュシャ展：アール・ヌーヴォーの華,1983,4/28-5/10,1983-04-28,松坂屋本店,愛知県,計21か所（2/21）,1983年：東京・伊勢丹美術館、愛知・松坂屋名古屋本店、京都・高島屋京都店、福岡・石橋美術館、大阪・なんば高島屋、兵庫・大丸神戸店、神奈川・横浜高島屋、北海道・札幌東急　1984年：広島・福屋、千葉・船橋西武美術館、福岡・岩田屋、新潟・伊勢丹、鹿児島・山形屋本店　1985 年：大阪・阪神百貨店、北海道・西武旭川店、岩手・岩手県民会館　1986年：長崎・浜屋、熊本・岩田屋伊勢丹、宮城・エンド一本店　1987年：富山・西武富山店、静岡・静岡カントリー・カルチャーフロア　計21か所（2/21）,,有,1983年、ドイテク企画室編（伊勢丹美術館含む8か所のもの）,企画協力：ドイグループ（ドイテク企画室）,1983年『アルフォンス・ミュシャ展：アール・ヌーヴォーの華』カタログ（伊勢丹美術館含む8か所のもの）、『アルフォンス・ミュシャ展：生誕150年記念』カタログ、『アルフォンス・ミュシャ作品集（新装版）』、『みんなのミュシャ：ミュシャからマンガへ／線の魔術』展カタログ,
1983-takashima-01,アルフォンス・ミュシャ展：アール・ヌーヴォーの華,1983,5/28-6/7,1983-05-28,高島屋京都店,京都府,計21か所（3/21）,1983年：東京・伊勢丹美術館、愛知・松坂屋名古屋本店、京都・高島屋京都店、福岡・石橋美術館、大阪・なんば高島屋、兵庫・大丸神戸店、神奈川・横浜高島屋、北海道・札幌東急　1984年：広島・福屋、千葉・船橋西武美術館、福岡・岩田屋、新潟・伊勢丹、鹿児島・山形屋本店　1985 年：大阪・阪神百貨店、北海道・西武旭川店、岩手・岩手県民会館　1986年：長崎・浜屋、熊本・岩田屋伊勢丹、宮城・エンド一本店　1987年：富山・西武富山店、静岡・静岡カントリー・カルチャーフロア　計21か所（3/21）,,有,1983年、ドイテク企画室編（伊勢丹美術館含む8か所のもの）,企画協力：ドイグループ（ドイテク企画室）,1983年『アルフォンス・ミュシャ展：アール・ヌーヴォーの華』カタログ（伊勢丹美術館含む8か所のもの）、『アルフォンス・ミュシャ展：生誕150年記念』カタログ、『アルフォンス・ミュシャ作品集（新装版）』、『みんなのミュシャ：ミュシャからマンガへ／線の魔術』展カタログ,
1983-ishibashi-01,アルフォンス・ミュシャ展：アール・ヌーヴォーの華,1983,7/30-8/28,1983-07-30,石橋美術館,福岡県,計21か所（4/21）,1983年：東京・伊勢丹美術館、愛知・松坂屋名古屋本店、京都・高島屋京都店、福岡・石橋美術館、大阪・なんば高島屋、兵庫・大丸神戸店、神奈川・横浜高島屋、北海道・札幌東急　1984年：広島・福屋、千葉・船橋西武美術館、福岡・岩田屋、新潟・伊勢丹、鹿児島・山形屋本店　1985 年：大阪・阪神百貨店、北海道・西武旭川店、岩手・岩手県民会館　1986年：長崎・浜屋、熊本・岩田屋伊勢丹、宮城・エンド一本店　1987年：富山・西武富山店、静岡・静岡カントリー・カルチャーフロア　計21か所（4/21）,,有,1983年、ドイテク企画室編（伊勢丹美術館含む8か所のもの）,企画協力：ドイグループ（ドイテク企画室）,1983年『アルフォンス・ミュシャ展：アール・ヌーヴォーの華』カタログ（伊勢丹美術館含む8か所のもの）、『アルフォンス・ミュシャ展：生誕150年記念』カタログ、『アルフォンス・ミュシャ作品集（新装版）』、『みんなのミュシャ：ミュシャからマンガへ／線の魔術』展カタログ、国立新美術館データベース,
 1983-takashima-02,アルフォンス・ミュシャ展：アール・ヌーヴォーの華,1983,9/1-9/13,1983-09-01,なんば高島屋,大阪府,計21か所（5/21）,1983年：東京・伊勢丹美術館、愛知・松坂屋名古屋本店、京都・高島屋京都店、福岡・石橋美術館、大阪・なんば高島屋、兵庫・大丸神戸店、神奈川・横浜高島屋、北海道・札幌東急　1984年：広島・福屋、千葉・船橋西武美術館、福岡・岩田屋、新潟・伊勢丹、鹿児島・山形屋本店　1985 年：大阪・阪神百貨店、北海道・西武旭川店、岩手・岩手県民会館　1986年：長崎・浜屋、熊本・岩田屋伊勢丹、宮城・エンド一本店　1987年：富山・西武富山店、静岡・静岡カントリー・カルチャーフロア　計21か所（5/21）,,有,1983年、ドイテク企画室編（伊勢丹美術館含む8か所のもの）,企画協力：ドイグループ（ドイテク企画室）,1983年『アルフォンス・ミュシャ展：アール・ヌーヴォーの華』カタログ（伊勢丹美術館含む8か所のもの）、『アルフォンス・ミュシャ展：生誕150年記念』カタログ、『アルフォンス・ミュシャ作品集（新装版）』、『みんなのミュシャ：ミュシャからマンガへ／線の魔術』展カタログ,
1983-daimaru-01,アルフォンス・ミュシャ展：アール・ヌーヴォーの華,1983,9/22-10/4,1983-09-22,大丸神戸店,兵庫県,計21か所（6/21）,1983年：東京・伊勢丹美術館、愛知・松坂屋名古屋本店、京都・高島屋京都店、福岡・石橋美術館、大阪・なんば高島屋、兵庫・大丸神戸店、神奈川・横浜高島屋、北海道・札幌東急　1984年：広島・福屋、千葉・船橋西武美術館、福岡・岩田屋、新潟・伊勢丹、鹿児島・山形屋本店　1985 年：大阪・阪神百貨店、北海道・西武旭川店、岩手・岩手県民会館　1986年：長崎・浜屋、熊本・岩田屋伊勢丹、宮城・エンド一本店　1987年：富山・西武富山店、静岡・静岡カントリー・カルチャーフロア　計21か所（6/21）,,有,1983年、ドイテク企画室編（伊勢丹美術館含む8か所のもの）,企画協力：ドイグループ（ドイテク企画室）,1983年『アルフォンス・ミュシャ展：アール・ヌーヴォーの華』カタログ（伊勢丹美術館含む8か所のもの）、『アルフォンス・ミュシャ展：生誕150年記念』カタログ、『アルフォンス・ミュシャ作品集（新装版）』、『みんなのミュシャ：ミュシャからマンガへ／線の魔術』展カタログ,
1983-takashima-03,アルフォンス・ミュシャ展：アール・ヌーヴォーの華,1983,10/13-10/25,1983-10-13,横浜高島屋,神奈川県,計21か所（7/21）,1983年：東京・伊勢丹美術館、愛知・松坂屋名古屋本店、京都・高島屋京都店、福岡・石橋美術館、大阪・なんば高島屋、兵庫・大丸神戸店、神奈川・横浜高島屋、北海道・札幌東急　1984年：広島・福屋、千葉・船橋西武美術館、福岡・岩田屋、新潟・伊勢丹、鹿児島・山形屋本店　1985 年：大阪・阪神百貨店、北海道・西武旭川店、岩手・岩手県民会館　1986年：長崎・浜屋、熊本・岩田屋伊勢丹、宮城・エンド一本店　1987年：富山・西武富山店、静岡・静岡カントリー・カルチャーフロア　計21か所（7/21）,,有,1983年、ドイテク企画室編（伊勢丹美術館含む8か所のもの）,企画協力：ドイグループ（ドイテク企画室）,1983年『アルフォンス・ミュシャ展：アール・ヌーヴォーの華』カタログ（伊勢丹美術館含む8か所のもの）、『アルフォンス・ミュシャ展：生誕150年記念』カタログ、『アルフォンス・ミュシャ作品集（新装版）』、『みんなのミュシャ：ミュシャからマンガへ／線の魔術』展カタログ,
